Gebiedsschematisatie Lauwersmeer - SIMONA - website	website	http://www.helpdeskwater.nl/onderwerpen/applicaties-modellen/water_en_ruimte/gebiedsschematisatie/schematisaties/@26884/schematisaties/?PagClsIdt=189447#PagCls_189447	00487664-08d7-4166-b026-eec5ac2a281a	404	Not Found
PGR:CollectiefBeheerplan2015	OGC:WFS	http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities	6d4d7ae9-5cb4-4f99-8edc-f1e67f3d603b	 port=80): Read timed out. (read timeout=3)""	))"
Kaart 4 Zoekgebied landschapselementen in agrarisch gebied	OGC:WMS	http://geoservices.zuid-holland.nl/arcgis/services/Landelijk_gebied/Landelijk_gebied_NBP/MapServer/WMSServer?SERVICE=WMS&REQUEST=GetCapabilities	0726b550-d5e7-4b09-884e-de92d055f3a8	400	Bad Request
7	OGC:WMS	http://Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=verkeer; Version=SDE.DEFAULT?SERVICE=WMS&REQUEST=GetCapabilities	249b122a-deaf-440c-91ab-f8f395acb5da	0	Failed to parse: Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=verkeer; Version=SDE.DEFAULT
Beheertypekaart-Natuur	OGC:WFS	http://62.112.238.40/cgi-bin/mapserver/mapserv.exe?SERVICE=WFS&REQUEST=GetCapabilities	723d4e9c-634f-4dff-81af-258a2a6e1161	 port=80): Max retries exceeded with url: /cgi-bin/mapserver/mapserv.exe?SERVICE=WFS&REQUEST=GetCapabilities (Caused by ConnectTimeoutError(<requests.packages.urllib3.connection.HTTPConnection object at 0x2353750>	' ''Connection to 62.112.238.40 timed out. (connect timeout=3)''))"'
-	dataset	http://Server=skp10.zwolle.intern; Service=5152; User=geo; Version=SDE.DEFAULT	d6060fbb-82fb-48d2-9fdc-69ba26fdaa2a	 gaierror(-2	' ''Name or service not known'')))"'
Vaarwegkenmerken in Nederland ligplaatsen	download	http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/vaarweginformatie_nederland/geogegevens/shape	c03a5c85-097a-4100-b0c6-526930a49d79	404	Not Found
83	OGC:WMS	http://Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=nat_land; Version=SDE.DEFAULT?SERVICE=WMS&REQUEST=GetCapabilities	ecc91628-a7d9-4168-985a-8a95840bcdad	0	Failed to parse: Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=nat_land; Version=SDE.DEFAULT
Vaarwegkenmerken in Nederland bruggen	download	http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/vaarweginformatie_nederland/geogegevens/shape	c2e9f686-9d3d-45e7-847a-cabf14bf2027	404	Not Found
vdbgemmaasgouw:laagspanning_ma	OGC:WMS	http://wioninspire.geodan.nl/geoserver/vdbgemmaasgouw/wms?SERVICE=WMS&REQUEST=GetCapabilities	c0a6c377-9814-4cd9-874f-de03067f85a8	503	Service Unavailable
